beruf,gebietsart,gebietsnummer,geburtsdatum,geschlecht,gruppe,name,namenszusatz,titel,vorname,vorperiode,wahlart,Gebiet,bundesland_kennung,bundesland,party
ltd. Angestellter / Geschäftsführer,LAND,14,1982,m,4,Müller-Rosentritt,0,0,Frank,N,Z,0,14.0,,FDP
Journalistin,WAHLKREIS,141,1980,w,1,Müntefering,0,0,Michelle,J,E,Herne – Bochum II,5.0,,SPD
Bankkaufmann,LAND,8,1964,m,35,Münz,0,0,Volker,N,Z,0,8.0,,AfD
Geschäftsführer,LAND,7,1989,m,35,Münzenmaier,0,0,Sebastian,N,Z,0,7.0,,AfD
Politikwissenschaftler,WAHLKREIS,95,1959,m,1,Mützenich,0,Dr.,Rolf,J,E,Köln III,5.0,,SPD
MdB / Literaturwissenschaftlerin (M. A.),LAND,7,1970,w,1,Nahles,0,0,Andrea,J,Z,0,7.0,,SPD
Angehörigenpflegerin,LAND,2,1980,w,34,Nastic,0,0,Zaklin,N,Z,0,2.0,,Die Linke
Dipl.-Wirtschaftsingenieurin,LAND,1,1977,w,5,Nestle,0,0,Ingrid,N,Z,0,1.0,,Grüne
Politikwissenschaftler,LAND,5,1969,m,34,Neu,0,Dr.,Alexander,J,Z,0,5.0,,Die Linke
Dipl.-Ing. Pädagoge,LAND,14,1964,m,35,Neumann,0,0,Christoph,N,Z,0,14.0,,AfD
Hochschullehrer / beratender Ingenieur,LAND,12,1956,m,4,Neumann,0,Prof. Dr.,Martin,N,Z,0,12.0,,FDP
MdB / Dipl.-Kaufmann / M.I.P.P.,WAHLKREIS,204,1967,m,2,Nick,0,Dr.,Andreas,J,E,Montabaur,7.0,,CDU/CSU
Industriekauffrau,WAHLKREIS,1,1965,w,2,Nicolaisen,0,0,Petra,N,E,Flensburg – Schleswig,1.0,,CDU/CSU
MdB,LAND,5,1964,m,1,Nietan,0,0,Dietmar,J,Z,0,5.0,,SPD
MdB,LAND,6,1959,w,1,Nissen,0,0,Ulrike,J,Z,0,6.0,,SPD
MdB / Rechtsanwältin,WAHLKREIS,104,1959,w,2,Noll,0,0,Michaela,J,E,Mettmann I,5.0,,CDU/CSU
Soldat,LAND,6,1988,m,35,Nolte,0,0,Jan Ralf,N,Z,0,6.0,,AfD
MdB / Kulturwissenschaftler,LAND,12,1957,m,34,Nord,0,0,Thomas Hans,J,Z,0,12.0,,Die Linke
MdB / Jurist,LAND,1,1971,m,5,Notz,von,Dr.,Konstantin,J,Z,0,1.0,,Grüne
selbständig,LAND,6,1975,m,5,Nouripour,0,0,Omid,J,Z,0,6.0,,Grüne
MdB / Dipl.-Kaufmann,WAHLKREIS,255,1969,m,3,Nüßlein,0,Dr.,Georg,J,E,Neu-Ulm,9.0,,CDU/CSU
Versicherungsmakler,LAND,14,1960,m,35,Oehme,0,0,Bernhard Ulrich,N,Z,0,14.0,,AfD
Rechtsanwalt,WAHLKREIS,89,1975,m,2,Oellers,0,0,Wilfried,J,E,Heinsberg,5.0,,CDU/CSU
MdB / Jurist,WAHLKREIS,53,1954,m,1,Oppermann,0,0,Thomas,J,E,Göttingen,3.0,,SPD
Fachwirtin im Gastgewerbe,WAHLKREIS,296,1986,w,1,Ortleb,0,0,Josephine Loulou,N,E,Saarbrücken,10.0,,SPD
Dipl.-Volkswirt (Univ.),WAHLKREIS,228,1980,m,3,Oßner,0,0,Florian,J,E,Landshut,9.0,,CDU/CSU
Bauer,LAND,5,1953,m,5,Ostendorff,0,0,Friedrich,J,Z,0,5.0,,Grüne
Bürgermeister,WAHLKREIS,199,1971,m,2,Oster,0,0,Josef,N,E,Koblenz,7.0,,CDU/CSU
MdB,WAHLKREIS,44,1968,m,2,Otte,0,0,Henning,J,E,Celle – Uelzen,3.0,,CDU/CSU
Major a. D. / Oberst d. R.,LAND,9,1955,m,35,Otten,0,0,Gerold Joachim,N,Z,0,9.0,,AfD
MdB,LAND,8,1965,m,5,Özdemir,0,0,Cem,J,Z,0,8.0,,Grüne
MdB,WAHLKREIS,116,1987,m,1,Özdemir,0,0,Mahmut,J,E,Duisburg II,5.0,,SPD
MdB / Staatsministerin,WAHLKREIS,22,1967,w,1,Özoğuz,0,0,Aydan Saliha,J,E,Hamburg-Wandsbek,2.0,,SPD
MdB,WAHLKREIS,107,1961,w,2,Pantel,0,0,Sylvia,J,E,Düsseldorf II,5.0,,CDU/CSU
selbständig,LAND,15,1960,m,35,Pasemann,0,0,Frank,N,Z,0,15.0,,AfD
MdB,WAHLKREIS,63,1947,m,2,Patzelt,0,0,Martin Maria Otto Felix,J,E,Frankfurt (Oder) – Oder-Spree,12.0,,CDU/CSU
MdB,WAHLKREIS,85,1963,w,34,Pau,0,0,Petra,J,E,Berlin-Marzahn-Hellersdorf,11.0,,Die Linke
MdB / Dipl.-Volkswirtin,LAND,11,1968,w,5,Paus,0,0,Elisabeth (Lisa),J,Z,0,11.0,,Grüne
Grund- und Förderschullehrer,WAHLKREIS,153,1977,m,34,Pellmann,0,0,Sören,N,E,Leipzig II,14.0,,Die Linke
Geschäftsführer / Politikwissenschaftler,LAND,3,1982,m,34,Perli,0,0,Victor Angelo,N,Z,0,3.0,,Die Linke
Dipl.-Jurist,LAND,9,1982,m,35,Peterka,0,0,Tobias Matthias,N,Z,0,9.0,,AfD
Dipl.-Verwaltungswirt,LAND,10,1965,m,1,Petry,0,0,Christian,J,Z,0,10.0,,SPD
MdL,WAHLKREIS,158,1975,w,35,Petry,0,Dr.,Frauke,N,E,Sächsische Schweiz-Osterzgebirge,14.0,,AfD
MdB / Dipl.-Kaufmann,WAHLKREIS,264,1967,m,2,Pfeiffer,0,Dr.,Joachim,J,E,Waiblingen,8.0,,CDU/CSU
wiss. Angestellter,LAND,8,1965,m,34,Pflüger,0,0,Tobias,N,Z,0,8.0,,Die Linke
MdB / Lehrer,LAND,7,1955,m,1,Pilger,0,0,Detlev,J,Z,0,7.0,,SPD
Arzt,WAHLKREIS,220,1987,m,3,Pilsinger,0,0,Stephan,N,E,München-West/Mitte,9.0,,CDU/CSU
Pressereferent,WAHLKREIS,21,1985,m,2,Ploß,0,Dr.,Christoph Johannes,N,E,Hamburg-Nord,2.0,,CDU/CSU
Medizintechniker / Publizist,LAND,9,1946,m,35,Podolay,0,0,Paul Viktor,N,Z,0,9.0,,AfD
Rechtsanwalt,LAND,16,1964,m,35,Pohl,0,0,Jürgen,N,Z,0,16.0,,AfD
MdL / Dipl.-Volkswirtin,LAND,3,1978,w,5,Polat,0,0,Filiz,N,Z,0,3.0,,Grüne
MdB / Glasermeister,WAHLKREIS,37,1962,m,2,Pols,0,0,Eckhard,J,E,Lüchow-Dannenberg – Lüneburg,3.0,,CDU/CSU
Betriebswirtin (VWA),WAHLKREIS,143,1968,w,1,Poschmann,0,0,Sabine,J,E,Dortmund II,5.0,,SPD
Dipl.-Soziologe,WAHLKREIS,134,1959,m,1,Post,0,0,Achim,J,E,Minden-Lübbecke I,5.0,,SPD
MdB / Dipl.-Kaufmann,LAND,9,1981,m,1,Post,0,0,Florian,J,Z,0,9.0,,SPD
MdB / parl. Staatssekretär,LAND,9,1972,m,1,Pronold,0,0,Florian,J,Z,0,9.0,,SPD
selbständig,LAND,9,1977,m,35,Protschka,0,0,Stephan,N,Z,0,9.0,,AfD
MdB,LAND,6,1968,m,1,Raabe,0,Dr.,Sascha Markus,J,Z,0,6.0,,SPD
MdB,LAND,6,1971,m,1,Rabanus,0,0,Martin Hermann,J,Z,0,6.0,,SPD
MdB / parl. Staatssekretär,WAHLKREIS,90,1962,m,2,Rachel,0,0,Thomas,J,E,Düren,5.0,,CDU/CSU
MdB / Lehrerin,WAHLKREIS,114,1974,w,2,Radomski,0,0,Kerstin,J,E,Krefeld II – Wesel II,5.0,,CDU/CSU
MdB,WAHLKREIS,223,1964,m,3,Radwan,0,0,Alexander Gamal,J,E,Bad Tölz-Wolfratshausen – Miesbach,9.0,,CDU/CSU
MdB / Metzgermeister,WAHLKREIS,231,1965,m,3,Rainer,0,0,Alois Georg Josef,J,E,Straubing,9.0,,CDU/CSU
MdB / Müllermeister / Dipl.-Kaufmann,WAHLKREIS,225,1954,m,3,Ramsauer,0,Dr.,Peter,J,E,Traunstein,9.0,,CDU/CSU
MdB / Dipl.-Ing. für Informationsverwaltung,WAHLKREIS,17,1954,m,2,Rehberg,0,0,Eckhardt Harald,J,E,Mecklenburgische Seenplatte II – Landkreis Rostock III,13.0,,CDU/CSU
Angestellter,LAND,15,1969,m,35,Reichardt,0,0,Martin,N,Z,0,15.0,,AfD
MdB / Biotechnologin,WAHLKREIS,50,1967,w,1,Reimann,0,Dr.,Carola,J,E,Braunschweig,3.0,,SPD
Meister im Maurer- und Betonhandwerk,LAND,13,1978,m,4,Reinhold,0,0,Hagen,N,Z,0,13.0,,FDP
Sozialwissenschaftlerin,LAND,5,1965,w,34,Remmers,0,0,Ingrid,N,Z,0,5.0,,Die Linke
Dipl.-Betriebswirt,LAND,5,1954,m,35,Renner,0,0,Martin Erwin,N,Z,0,5.0,,AfD
MdB / wiss. Mitarbeiterin,LAND,16,1967,w,34,Renner,0,0,Martina,J,Z,0,16.0,,Die Linke
Beamter / Oberstaatsanwalt,LAND,12,1954,m,35,Reusch,0,0,Roman Johannes,N,Z,0,12.0,,AfD
Angestellter,LAND,5,1971,m,4,Reuther,0,0,Bernd,N,Z,0,5.0,,FDP
MdB,LAND,3,1962,w,1,Ridder,De,Dr.,Daniela,J,Z,0,3.0,,SPD
MdB,WAHLKREIS,293,1957,m,2,Riebsamen,0,0,Lothar,J,E,Bodensee,8.0,,CDU/CSU
MdB / Landwirtschaftsmeister,WAHLKREIS,292,1960,m,2,Rief,0,0,Josef,J,E,Biberach,8.0,,CDU/CSU
Parteivorsitzender,LAND,8,1955,m,34,Riexinger,0,0,Bernd,N,Z,0,8.0,,Die Linke
Elektromeister in der Energiewirtschaft,LAND,5,1962,m,1,Rimkus,0,0,Andreas,J,Z,0,5.0,,SPD
Erzieher,LAND,1,1975,m,1,Rix,0,0,Sönke,J,Z,0,1.0,,SPD
MdB / Rechtsanwalt,WAHLKREIS,27,1986,m,1,Rohde,0,0,Dennis,J,E,Oldenburg – Ammerland,3.0,,SPD
MdB / staatl. geprüfter Landwirt,WAHLKREIS,126,1959,m,2,Röring,0,0,Johannes August,J,E,Borken II,5.0,,CDU/CSU
MdB / Dipl.-Volkswirt,LAND,8,1976,m,1,Rosemann,0,Dr.,Martin,J,Z,0,8.0,,SPD
MdB / Dipl.-Biologe,WAHLKREIS,138,1964,m,1,Röspel,0,0,René,J,E,Hagen – Ennepe-Ruhr-Kreis I,5.0,,SPD
MdB / Dipl.-Psychologe,LAND,1,1951,m,1,Rossmann,0,Dr.,Ernst Dieter,J,Z,0,1.0,,SPD
MdB,LAND,7,1966,w,5,Rößner,0,0,Tabea,J,Z,0,7.0,,Grüne
MdB / Dramaturgin,LAND,9,1955,w,5,Roth,0,0,Claudia Benedikta,J,Z,0,9.0,,Grüne
Staatsminister,WAHLKREIS,169,1970,m,1,Roth,0,0,Michael,J,E,Werra-Meißner – Hersfeld-Rotenburg,6.0,,SPD
Rechtsanwalt,WAHLKREIS,98,1965,m,2,Röttgen,0,Dr.,Norbert,J,E,Rhein-Sieg-Kreis II,5.0,,CDU/CSU
Juristin,LAND,9,1972,w,5,Rottmann,0,Dr.,Manuela,N,Z,0,9.0,,Grüne
Handelsattaché,WAHLKREIS,112,1978,m,2,Rouenhoff,0,0,Stefan,N,E,Kleve,5.0,,CDU/CSU
MdB / Dipl.-Betriebswirt,WAHLKREIS,197,1955,m,2,Rüddel,0,0,Erwin,J,E,Neuwied,7.0,,CDU/CSU
Politikerin,LAND,7,1975,w,5,Rüffer,0,0,Corinna,J,Z,0,7.0,,Grüne
Rechtsanwalt,LAND,6,1971,m,4,Ruppert,0,Dr.,Stefan,N,Z,0,6.0,,FDP
MdB / Dipl.-Volkswirt,WAHLKREIS,235,1968,m,3,Rupprecht,0,0,Albert,J,E,Weiden,9.0,,CDU/CSU
MdB,LAND,14,1977,w,1,Rüthrich,0,0,Susann,J,Z,0,14.0,,SPD
MdB / techn. Oberamtsrat a. D.,LAND,9,1968,m,1,Rützel,0,0,Bernd,J,Z,0,9.0,,SPD
MdB / Dipl.-Politikwissenschaftlerin,WAHLKREIS,54,1983,w,1,Ryglewski,0,0,Sarah Janina,J,E,Bremen I,4.0,,SPD
MdB / Dipl.-Verwaltungswirt (FH),WAHLKREIS,24,1967,m,1,Saathoff,0,0,Johann,J,E,Aurich – Emden,3.0,,SPD
Historiker,LAND,2,1982,m,5,Sarrazin,0,0,Manuel Ferdinand Theodor,J,Z,0,2.0,,Grüne
Vorstand i. R.,LAND,9,1949,m,4,Sattelberger,0,0,Thomas,N,Z,0,9.0,,FDP
Bürgermeister,WAHLKREIS,184,1966,m,2,Sauer,0,0,Stefan,N,E,Groß-Gerau,6.0,,CDU/CSU
Dipl.-Wirtschaftsingenieur (FH),LAND,5,1980,m,4,Sauter,0,0,Christian,N,Z,0,5.0,,FDP
MdB / Angestellte,WAHLKREIS,210,1951,w,2,Schäfer,0,0,Anita,J,E,Pirmasens,7.0,,CDU/CSU
MdB,WAHLKREIS,140,1952,m,1,Schäfer,0,0,Axel,J,E,Bochum I,5.0,,SPD
Dipl.-Betriebswirt,LAND,5,1968,m,4,Schäffler,0,0,Frank,N,Z,0,5.0,,FDP
MdB / Bundesminister,WAHLKREIS,284,1942,m,2,Schäuble,0,Dr.,Wolfgang,J,E,Offenburg,8.0,,CDU/CSU
Film- und Fernsehwissenschaftlerin,LAND,5,1966,w,5,Schauws,0,0,Ursula (Ulle),J,Z,0,5.0,,Grüne
Juristin / Politikwissenschaftlerin / Musikerin,LAND,1,1971,w,1,Scheer,0,Dr.,Nina,J,Z,0,1.0,,SPD
MdB,WAHLKREIS,229,1974,m,3,Scheuer,0,0,Andreas Franz,J,E,Passau,9.0,,CDU/CSU
MdB / Volkswirt,LAND,8,1972,m,5,Schick,0,Dr.,Gerhard,J,Z,0,8.0,,Grüne
MdB / Juristin,LAND,9,1962,w,1,Schieder,0,0,Marianne,J,Z,0,9.0,,SPD
MdB,LAND,5,1959,m,1,Schiefner,0,0,Udo,J,Z,0,5.0,,SPD
Verwaltungsangestellte,LAND,13,1969,w,35,Schielke-Ziesing,0,0,Ulrike,N,Z,0,13.0,,AfD
Dipl.-Politologin / Politikwissenschaftlerin,WAHLKREIS,62,1979,w,2,Schimke,0,0,Jana,J,E,Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I,12.0,,CDU/CSU
Zahnarzt / Rechtsanwalt,LAND,2,1958,m,4,Schinnenburg,0,0,Wieland Albert Wilhelm,N,Z,0,2.0,,FDP
MdB,WAHLKREIS,192,1976,m,2,Schipanski,0,0,Tankred,J,E,Gotha – Ilm-Kreis,16.0,,CDU/CSU
Arzt,LAND,16,1967,m,35,Schlund,0,Dr.,Robby,N,Z,0,16.0,,AfD
MdL,LAND,8,1973,m,1,Schmid,0,Dr.,Nils,N,Z,0,8.0,,SPD
Bundesminister,WAHLKREIS,243,1957,m,3,Schmidt,0,0,Christian,J,E,Fürth,9.0,,CDU/CSU
Historikerin,LAND,6,1973,w,1,Schmidt,0,0,Dagmar,J,Z,0,6.0,,SPD
Sozialwissenschaftler,LAND,5,1953,m,5,Schmidt,0,Dr.,Frithjof,J,Z,0,5.0,,Grüne
wiss. Angestellter,LAND,9,1981,m,5,Schmidt,0,0,Stefan,N,Z,0,9.0,,Grüne
Lehrerin für Sonderpädagogik,LAND,5,1949,w,1,Schmidt,0,0,Ursula (Ulla),J,Z,0,5.0,,SPD
Hafenfacharbeiter,WAHLKREIS,55,1966,m,1,Schmidt,0,0,Uwe,N,E,Bremen II – Bremerhaven,4.0,,SPD
Ärztin,WAHLKREIS,11,1966,w,2,Schmidtke,0,Prof. Dr.,Claudia,N,E,Lübeck,1.0,,CDU/CSU
Bankkaufmann,LAND,16,1976,m,1,Schneider,0,0,Carsten,J,Z,0,16.0,,SPD
Lehrer,LAND,5,1964,m,35,Schneider,0,0,Jörg,N,Z,0,5.0,,AfD
MdB / Rechtsanwalt,WAHLKREIS,202,1968,m,2,Schnieder,0,0,Patrick,J,E,Bitburg,7.0,,CDU/CSU
MdB,WAHLKREIS,298,1983,w,2,Schön,0,0,Nadine,J,E,St. Wendel,10.0,,CDU/CSU
wiss. Mitarbeiter Bundestag,WAHLKREIS,46,1983,m,1,Schraps,0,0,Johannes,N,E,Hameln-Pyrmont – Holzminden,3.0,,SPD
Ethnologin,LAND,9,1958,w,34,Schreiber,0,0,Eva-Maria Elisabeth,N,Z,0,9.0,,Die Linke
MdL,WAHLKREIS,288,1986,m,2,Schreiner,0,0,Felix,N,E,Waldshut,8.0,,CDU/CSU
Studienrat,LAND,9,1977,m,1,Schrodi,0,0,Michael,N,Z,0,9.0,,SPD
Angestellte,WAHLKREIS,61,1976,w,1,Schüle,0,Dr.,Manja,N,E,Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II,12.0,,SPD
MdB / Hausfrau,LAND,5,1952,w,1,Schulte,0,0,Ursula,J,Z,0,5.0,,SPD
Buchhändler,LAND,5,1955,m,1,Schulz,0,0,Martin,N,Z,0,5.0,,SPD
Unternehmer,LAND,9,1968,m,4,Schulz,0,0,Ralph Jimmy,N,Z,0,9.0,,FDP
MdB,WAHLKREIS,78,1968,m,1,Schulz,0,0,Swen,J,E,Berlin-Spandau – Charlottenburg Nord,11.0,,SPD
ltd. Angestellter,LAND,6,1961,m,35,Schulz,0,0,Uwe,N,Z,0,6.0,,AfD
Kommunikationswissenschaftlerin,LAND,6,1956,w,5,Schulz-Asche,0,0,Kordula Anna Paula,J,Z,0,6.0,,Grüne
MdB / Dipl.-Lehrer,WAHLKREIS,64,1954,m,2,Schulze,0,Dr.,Klaus-Peter Friedrich Walter,J,E,Cottbus – Spree-Neiße,12.0,,CDU/CSU
Groß- und Außenhandelskaufmann,WAHLKREIS,111,1957,m,2,Schummer,0,0,Uwe,J,E,Viersen,5.0,,CDU/CSU
MdB / Dipl.-Betriebswirt,LAND,9,1954,m,1,Schurer,0,0,Ewald,J,Z,0,9.0,,SPD
MdB,WAHLKREIS,282,1961,m,2,Schuster,0,0,Armin,J,E,Lörrach – Müllheim,8.0,,CDU/CSU
MdB,WAHLKREIS,121,1970,m,1,Schwabe,0,0,Frank,J,E,Recklinghausen I,5.0,,SPD
MdB / Industriemechaniker,WAHLKREIS,133,1974,m,1,Schwartze,0,0,Stefan,J,E,Herford – Minden-Lübbecke II,5.0,,SPD
MdB / Dipl.-Betriebswirt (FH),LAND,9,1965,m,1,Schwarz,0,0,Andreas,J,Z,0,9.0,,SPD
MdB / parl. Staatssekretärin,LAND,8,1962,w,1,Schwarzelühr-Sutter,0,0,Rita,J,Z,0,8.0,,SPD
Dipl.-Ingenieur,WAHLKREIS,74,1968,m,2,Schweiger,0,0,Torsten,N,E,Mansfeld,15.0,,CDU/CSU
Gymnasiallehrer,LAND,3,1984,m,4,Seestern-Pauly,0,0,Matthias,N,Z,0,3.0,,FDP
MdB / Rechtsanwalt,WAHLKREIS,92,1962,m,2,Seif,0,0,Detlef,J,E,Euskirchen – Rhein-Erft-Kreis II,5.0,,CDU/CSU
Rechtsassessor,LAND,8,1967,m,35,Seitz,0,0,Thomas,N,Z,0,8.0,,AfD
Dipl.-Mathematiker,WAHLKREIS,191,1956,m,2,Selle,0,0,Johannes,J,E,Jena – Sömmerda – Weimarer Land I,16.0,,CDU/CSU
MdB / Studiendirektor a. D.,WAHLKREIS,130,1952,m,2,Sendker,0,0,Reinhold,J,E,Warendorf,5.0,,CDU/CSU
MdB / Hochschullehrer,WAHLKREIS,147,1971,m,2,Sensburg,0,0,Patrick Ernst Hermann,J,E,Hochsauerlandkreis,5.0,,CDU/CSU
Dipl.-Kaufmann,LAND,9,1980,m,35,Sichert,0,0,Martin Johannes,N,Z,0,9.0,,AfD
parl. Staatssekretär,WAHLKREIS,236,1968,m,3,Silberhorn,0,0,Thomas,J,E,Bamberg,9.0,,CDU/CSU
Politikwissenschaftler,WAHLKREIS,185,1981,m,2,Simon,0,0,Björn Manuel,N,E,Offenbach,6.0,,CDU/CSU
Geschäftsführer,LAND,15,1978,m,4,Sitta,0,0,Frank,N,Z,0,15.0,,FDP
Dipl.-Ökonomin,LAND,15,1960,w,34,Sitte,0,Dr.,Petra,J,Z,0,15.0,,Die Linke
Rechtsanwältin,LAND,8,1975,w,4,Skudelny,0,0,Judith,N,Z,0,8.0,,FDP
selbständig,LAND,6,1940,m,4,Solms,0,Dr.,Hermann Otto,N,Z,0,6.0,,FDP
wiss. Mitarbeiterin,LAND,11,1971,w,34,Sommer,0,0,Evrim,N,Z,0,11.0,,Die Linke
MdB / Rechtsanwalt,WAHLKREIS,69,1975,m,2,Sorge,0,0,Tino,J,E,Magdeburg,15.0,,CDU/CSU
MdB / Bankkaufmann,WAHLKREIS,124,1980,m,2,Spahn,0,0,Jens,J,E,Steinfurt I – Borken I,5.0,,CDU/CSU
Dipl.-Betriebswirt,LAND,14,1944,m,35,Spangenberg,0,0,Detlev,N,Z,0,14.0,,AfD
Dipl.-Ingenieur,LAND,8,1971,m,35,Spaniel,0,Dr.,Dirk,N,Z,0,8.0,,AfD
MdB,LAND,3,1956,m,1,Spiering,0,0,Rainer,J,Z,0,3.0,,SPD
Angestellter,LAND,12,1979,m,35,Springer,0,0,René,N,Z,0,12.0,,AfD
MdB / Senior-PR-Beraterin,LAND,3,1976,w,1,Stadler,0,0,Svenja,J,Z,0,3.0,,SPD
Biochemikerin (M. Sc.),WAHLKREIS,215,1981,w,3,Staffler,0,0,Katrin,N,E,Fürstenfeldbruck,9.0,,CDU/CSU
MdB / Marketing- und Kommunikationsmanagerin,LAND,9,1965,w,1,Stamm-Fibich,0,0,Martina,J,Z,0,9.0,,SPD
Dipl.-Volkswirtin,LAND,6,1968,w,4,Stark-Watzinger,0,0,Bettina,N,Z,0,6.0,,FDP
Dipl.-Kaufmann,WAHLKREIS,77,1966,m,2,Steffel,0,Dr.,Frank,J,E,Berlin-Reinickendorf,11.0,,CDU/CSU
Rechtsanwältin,LAND,13,1963,w,1,Steffen,0,0,Sonja Amalie,J,Z,0,13.0,,SPD
MdB / Betriebswirt,WAHLKREIS,218,1985,m,3,Stefinger,0,Dr.,Wolfgang,J,E,München-Ost,9.0,,CDU/CSU
MdB / Landwirtschaftsmeister,WAHLKREIS,31,1976,m,2,Stegemann,0,0,Albert,J,E,Mittelems,3.0,,CDU/CSU
Dipl.-Ingenieur,WAHLKREIS,203,1972,m,2,Steier,0,0,Andreas,N,E,Trier,7.0,,CDU/CSU
Bautechniker,WAHLKREIS,5,1970,m,1,Stein,0,0,Jens Mathias,N,E,Kiel,1.0,,SPD
MdB,WAHLKREIS,14,1968,m,2,Stein,0,0,Peter,J,E,Rostock – Landkreis Rostock II,13.0,,CDU/CSU
Rechtsanwalt,WAHLKREIS,56,1973,m,2,Steineke,0,0,Sebastian,J,E,Prignitz – Ostprignitz-Ruppin – Havelland I,12.0,,CDU/CSU
MdB / Gymnasiallehrer,WAHLKREIS,208,1987,m,2,Steiniger,0,0,Johannes,J,E,Neustadt – Speyer,7.0,,CDU/CSU
MdB / Agraringenieurin,LAND,16,1958,w,34,Steinke,0,0,Kersten,J,Z,0,16.0,,Die Linke
MdB / selbst. Kaufmann,WAHLKREIS,268,1970,m,2,Stetten,Freiherr von,0,Christian Alexander,J,E,Schwäbisch Hall – Hohenlohe,8.0,,CDU/CSU
MdB / Dipl.-Agraringenieur,WAHLKREIS,73,1964,m,2,Stier,0,0,Dieter,J,E,Burgenland – Saalekreis,15.0,,CDU/CSU
MdEP / Anwältin,LAND,11,1971,w,35,Storch,von,0,Beatrix,N,Z,0,11.0,,AfD
MdB / Dipl.-Betriebswirt (FH),WAHLKREIS,8,1958,m,2,Storjohann,0,0,Gero,J,E,Segeberg – Stormarn-Mitte,1.0,,CDU/CSU
MdB,WAHLKREIS,257,1974,m,3,Stracke,0,0,Stephan,J,E,Ostallgäu,9.0,,CDU/CSU
selbst. Verlagsrepräsentantin,LAND,5,1958,w,4,Strack-Zimmermann,0,Dr.,Marie-Agnes,N,Z,0,5.0,,FDP
Richter,LAND,5,1961,m,34,Straetmanns,0,0,Friedrich,N,Z,0,5.0,,Die Linke
Rechtsanwalt,LAND,8,1987,m,4,Strasser,0,0,Benjamin,N,Z,0,8.0,,FDP
Versicherungskaufmann,WAHLKREIS,230,1954,m,3,Straubinger,0,0,Max,J,E,Rottal-Inn,9.0,,CDU/CSU
Volkswirt,LAND,6,1964,m,5,Strengmann-Kuhn,0,0,Wolfgang,J,Z,0,6.0,,Grüne
MdB,WAHLKREIS,13,1967,w,2,Strenz,0,0,Karin,J,E,Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I,13.0,,CDU/CSU
MdB / Baufacharbeiter / Pfarrer,WAHLKREIS,65,1959,m,2,Stübgen,0,0,Michael,J,E,Elbe-Elster – Oberspreewald-Lausitz II,12.0,,CDU/CSU
Oberstudienrätin,LAND,8,1963,w,5,Stumpp,0,0,Margit,N,Z,0,8.0,,Grüne
Kommunikationsberaterin,LAND,2,1975,w,4,Suding,0,0,Katja Rita,N,Z,0,2.0,,FDP
MdB / Dipl.-Sozialpädagogin,WAHLKREIS,41,1968,w,1,Tack,0,0,Kerstin,J,E,Stadt Hannover I,3.0,,SPD
MdB / Tierärztin,LAND,12,1960,w,34,Tackmann,0,Dr.,Kirsten,J,Z,0,12.0,,Die Linke
Sozialarbeiterin (B. A.),LAND,8,1981,w,34,Tatti,0,0,Jessica,N,Z,0,8.0,,Die Linke
MdB,WAHLKREIS,175,1974,m,2,Tauber,0,Dr.,Peter Michael,J,E,Main-Kinzig – Wetterau II – Schotten,6.0,,CDU/CSU
MdB / Dipl.-Geografin,LAND,9,1964,w,1,Tausend,0,0,Claudia,J,Z,0,9.0,,SPD
Landrat,WAHLKREIS,100,1964,m,2,Tebroke,0,Dr.,Hermann-Josef,N,E,Rheinisch-Bergischer Kreis,5.0,,CDU/CSU
Rechtsanwältin / Referentin im BMBF,LAND,12,1981,w,4,Teuteberg,0,0,Linda,N,Z,0,12.0,,FDP
MdEP,LAND,8,1967,m,4,Theurer,0,0,Michael,N,Z,0,8.0,,FDP
Dipl.-Chemieingenieur,WAHLKREIS,145,1964,m,1,Thews,0,0,Michael,J,E,Hamm – Unna II,5.0,,SPD
Rechtsanwalt,WAHLKREIS,146,1955,m,2,Thies,0,0,Hans-Jürgen,N,E,Soest,5.0,,CDU/CSU
Rechtsanwalt,LAND,9,1968,m,4,Thomae,0,0,Stephan,N,Z,0,9.0,,FDP
Rechtsanwalt,WAHLKREIS,267,1968,m,2,Throm,0,0,Alexander,N,E,Heilbronn,8.0,,CDU/CSU
Oberbürgermeisterin,WAHLKREIS,60,1955,w,2,Tiemann,0,Dr.,Dietlind,N,E,Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I,12.0,,CDU/CSU
Dipl.-Finanzwirtin,WAHLKREIS,193,1964,w,2,Tillmann,0,0,Antje,J,E,Erfurt – Weimar – Weimarer Land II,16.0,,CDU/CSU
Elektromeister,LAND,5,1950,m,4,Todtenhausen,0,0,Manfred,N,Z,0,5.0,,FDP
Rechtsanwalt,LAND,8,1979,m,4,Toncar,0,Dr.,Florian,N,Z,0,8.0,,FDP
Politologe,WAHLKREIS,123,1964,m,1,Töns,0,0,Markus,N,E,Gelsenkirchen,5.0,,SPD
MdB,LAND,10,1977,m,5,Tressel,0,0,Markus Stefan,J,Z,0,10.0,,Grüne
MdB / Bundesminister a. D.,LAND,3,1954,m,5,Trittin,0,0,Jürgen,J,Z,0,3.0,,Grüne
