beruf,gebietsart,gebietsnummer,geburtsdatum,geschlecht,gruppe,name,namenszusatz,titel,vorname,vorperiode,wahlart,Gebiet,bundesland_kennung,bundesland,party
parl. Staatssekretär,LAND,5,1967,m,2,Brauksiepe,0,Dr.,Ralf,J,Z,0,5.0,,CDU/CSU
Arzt,WAHLKREIS,173,1972,m,2,Braun,0,Prof. Dr.,Helge Reinhold,J,E,Gießen,6.0,,CDU/CSU
Kommunikationsberater,LAND,8,1961,m,35,Braun,0,0,Jürgen,N,Z,0,8.0,,AfD
Geschäftsführerin / Rechtsanwältin,WAHLKREIS,32,1973,w,2,Breher,0,0,Silvia,N,E,Cloppenburg – Vechta,3.0,,CDU/CSU
Steuerberater / Dipl.-Kaufmann,WAHLKREIS,244,1971,m,3,Brehm,0,0,Sebastian,N,E,Nürnberg-Nord,9.0,,CDU/CSU
MdB / Dipl.-Betriebswirtin (FH),WAHLKREIS,68,1962,w,2,Brehmer,0,0,Heike,J,E,Harz,15.0,,CDU/CSU
Einzelhandelskauffrau,LAND,8,1960,w,1,Breymaier,0,0,Leni,N,Z,0,8.0,,SPD
MdB / Steuerberater,WAHLKREIS,131,1968,m,2,Brinkhaus,0,0,Ralph,J,E,Gütersloh I,5.0,,CDU/CSU
ltd. Angestellter / Dipl.-Volkswirt,WAHLKREIS,99,1967,m,2,Brodesser,0,Dr.,Carsten,N,E,Oberbergischer Kreis,5.0,,CDU/CSU
ltd. Angestellter / Dipl.-Volkswirt,WAHLKREIS,99,1967,m,2,Brodesser,0,Dr.,Carsten,N,E,Bundesgebiet,0.0,,CDU/CSU
MdB,LAND,8,1985,w,5,Brugger,0,0,Agnes,J,Z,0,8.0,,Grüne
MdB,LAND,9,1953,m,1,Brunner,0,Dr.,Karl Heinz,J,Z,0,9.0,,SPD
Rechtsanwalt,LAND,1,1961,m,4,Buchholz,0,Dr.,Bernd,N,Z,0,1.0,,FDP
Erziehungswissenschaftlerin,LAND,6,1971,w,34,Buchholz,0,0,Christine,J,Z,0,6.0,,Die Linke
MdL / Dipl.-Ing. für Arbeitsgestaltung,LAND,15,1965,w,1,Budde,0,0,Katrin,N,Z,0,15.0,,SPD
Dipl.-Informatiker (M. Sc.) (FH),LAND,16,1977,m,35,Bühl,0,0,Marcus,N,Z,0,16.0,,AfD
Erziehungswissenschaftlerin / Soziologin,LAND,15,1963,w,34,Bull-Bischoff,0,0,Birke,N,Z,0,15.0,,Die Linke
freier Journalist / Publizist,WAHLKREIS,142,1971,m,1,Bülow,0,0,Marco,J,E,Dortmund I,5.0,,SPD
