beruf,gebietsart,gebietsnummer,geburtsdatum,geschlecht,gruppe,name,vorname,vorperiode,wahlart,Gebiet,bundesland_kennung,bundesland,party
Staatssekretärin / Dipl.-Chemikerin,WAHLKREIS,42,1967,w,1,Fahimi,Yasmin,N,E,Stadt Hannover II,3,Niedersachsen,SPD
MdB,WAHLKREIS,263,1963,m,2,Färber,Hermann,J,E,Göppingen,8,Baden-Württemberg,CDU/CSU
MdB,LAND,8,1972,m,1,Fechner,Johannes,J,Z,0,8,Baden-Württemberg,SPD
Dipl.-Finanzwirt,WAHLKREIS,58,1965,m,2,Feiler,Uwe Wolfgang Werner,J,E,Oberhavel – Havelland II,12,Brandenburg,CDU/CSU
MdB,WAHLKREIS,153,1965,m,2,Feist,Thomas,J,E,Leipzig II,14,Sachsen,CDU/CSU
MdB / klassischer Philologe / Lehrer,WAHLKREIS,82,1968,m,1,Felgentreu,Fritz,J,E,Berlin-Neukölln,11,Berlin,SPD
parl. Staatssekretär,WAHLKREIS,29,1963,m,2,Ferlemann,Enak,J,E,Cuxhaven – Stade II,3,Niedersachsen,CDU/CSU
Betriebsratsvorsitzende,LAND,9,1973,w,34,Ferschl,Susanne,N,Z,0,9,Bayern,DIE LINKE
MdB / Dipl.-Mathematikerin,LAND,11,1956,w,1,Finckh-Krämer,Ute,J,Z,0,11,Berlin,SPD
MdB,WAHLKREIS,272,1966,m,2,Fischer,Axel,J,E,Karlsruhe-Land,8,Baden-Württemberg,CDU/CSU
MdB / Tierärztin,LAND,3,1963,w,2,Flachsbarth,Maria Franziska,J,Z,0,3,Niedersachsen,CDU/CSU
MdB / Rechtsanwalt,LAND,9,1974,m,1,Flisek,Christian,J,Z,0,9,Bayern,SPD
MdB,WAHLKREIS,170,1960,m,1,Franke,Edgar Konrad Hartmut,J,E,Schwalm-Eder,6,Hessen,SPD
MdB,LAND,12,1951,m,1,Freese,Ulrich Ronald,J,Z,0,12,Brandenburg,SPD
MdB,WAHLKREIS,286,1973,m,2,Frei,Thorsten,J,E,Schwarzwald-Baar,8,Baden-Württemberg,CDU/CSU
Lehrerin a. D.,WAHLKREIS,150,1953,w,1,Freitag,Dagmar,J,E,Märkischer Kreis II,5,Nordrhein-Westfalen,SPD
MdB,LAND,9,1973,w,3,Freudenstein,Astrid,J,Z,0,9,Bayern,CDU/CSU
MdB,WAHLKREIS,239,1957,m,3,Friedrich,Hans-Peter,J,E,Hof,9,Bayern,CDU/CSU
MdB / Rechtsanwalt,WAHLKREIS,245,1964,m,3,Frieser,Michael,J,E,Nürnberg-Süd,9,Bayern,CDU/CSU
MdB / parl. Staatssekretär,WAHLKREIS,280,1952,m,2,Fuchtel,Hans-Joachim,J,E,Calw,8,Baden-Württemberg,CDU/CSU
Apothekerin,LAND,5,1958,w,34,Gabelmann,Sylvia,N,Z,0,5,Nordrhein-Westfalen,DIE LINKE
MdB / Bundesminister,WAHLKREIS,49,1959,m,1,Gabriel,Sigmar Hartmut,J,E,Salzgitter – Wolfenbüttel,3,Niedersachsen,SPD
Berufssoldat,WAHLKREIS,9,1960,m,2,Gädechens,Ingo,J,E,Ostholstein – Stormarn-Nord,1,Schleswig-Holstein,CDU/CSU
MdB,LAND,8,1970,m,5,Gastel,Matthias,J,Z,0,8,Baden-Württemberg,GRÜNE
MdB,WAHLKREIS,211,1971,m,2,Gebhart,Thomas,J,E,Südpfalz,7,Rheinland-Pfalz,CDU/CSU
Dipl.-Sozialwissenschaftler,LAND,5,1977,m,5,Gehring,Kai Boris,J,Z,0,5,Nordrhein-Westfalen,GRÜNE
MdAB / Rechtsanwalt,LAND,11,1976,m,5,Gelbhaar,Stefan,N,Z,0,11,Berlin,GRÜNE
MdB / Elektrohauer,WAHLKREIS,125,1960,m,1,Gerdes,Michael,J,E,Bottrop – Recklinghausen III,5,Nordrhein-Westfalen,SPD
MdB / Landwirtschaftsmeister,WAHLKREIS,276,1956,m,2,Gerig,Alois,J,E,Odenwald – Tauber,8,Baden-Württemberg,CDU/CSU
MdB,LAND,8,1971,m,1,Gerster,Martin,J,Z,0,8,Baden-Württemberg,SPD
MdB / Kaufmann,WAHLKREIS,266,1951,m,2,Gienger,Eberhard,J,E,Neckar-Zaber,8,Baden-Württemberg,CDU/CSU
MdB,LAND,5,1978,w,2,Giousouf,Cemile,J,Z,0,5,Nordrhein-Westfalen,CDU/CSU
MdB,LAND,7,1962,w,1,Glöckner,Angelika,J,Z,0,7,Rheinland-Pfalz,SPD
Sozialdezernent / Volljurist,WAHLKREIS,66,1958,m,2,Gnodtke,Eckhard,N,E,Altmark,15,Sachsen-Anhalt,CDU/CSU
MdB / Kommunikationswissenschaftlerin,LAND,9,1975,w,34,Gohlke,Nicole Stephanie,J,Z,0,9,Bayern,DIE LINKE
MdB,LAND,16,1966,w,5,Göring-Eckardt,Katrin,J,Z,0,16,Thüringen,GRÜNE
MdL,WAHLKREIS,168,1976,m,1,Gremmels,Timon,N,E,Kassel,6,Hessen,SPD
MdB,LAND,5,1966,w,1,Griese,Kerstin,J,Z,0,5,Nordrhein-Westfalen,SPD
MdB / Bankkauffrau,WAHLKREIS,205,1965,w,2,Groden-Kranich,Ursula,J,E,Mainz,7,Rheinland-Pfalz,CDU/CSU
MdB / Bundesminister / Jurist,WAHLKREIS,108,1961,m,2,Gröhe,Hermann,J,E,Neuss I,5,Nordrhein-Westfalen,CDU/CSU
MdB / Jurist,WAHLKREIS,80,1966,m,2,Gröhler,Klaus-Dieter,J,E,Berlin-Charlottenburg-Wilmersdorf,11,Berlin,CDU/CSU
Geschäftsbereichsleiter,WAHLKREIS,122,1956,m,1,Groß,Michael Peter,J,E,Recklinghausen II,5,Nordrhein-Westfalen,SPD
MdB / Rechtsanwalt,WAHLKREIS,36,1960,m,2,Grosse-Brömer,Michael,J,E,Harburg,3,Niedersachsen,CDU/CSU
