Bundesland,CDU/CSU,SPD,Grüne,Die Linke,FDP,AfD,Other
Coesfeld – Steinfurt II,50.1,25.6,8.1,4.2,5.6,2.8,3.6
Steinfurt III,43.3,33.4,7.6,4.7,4.7,2.8,3.5
Münster,37.8,27.2,15.2,6.3,6.8,2.9,3.8
Warendorf,47.1,29.1,7.2,4.4,5.4,2.9,3.9
Gütersloh I,46.3,28.7,7.9,5.0,4.9,3.2,4.0
Bielefeld – Gütersloh II,35.3,32.6,11.7,8.4,4.0,3.4,4.6
Herford – Minden-Lübbecke II,39.4,34.9,7.6,5.8,4.2,3.6,4.5
Minden-Lübbecke I,41.1,34.4,7.3,4.9,4.6,3.6,4.1
Lippe I,39.3,35.1,7.3,5.1,4.6,3.8,4.8
Höxter – Lippe II,45.8,29.7,6.7,5.1,4.8,3.6,4.3
Paderborn – Gütersloh III,51.3,23.3,7.1,5.2,5.0,3.6,4.5
Hagen – Ennepe-Ruhr-Kreis I,35.3,36.7,6.7,6.8,4.5,4.4,5.6
Ennepe-Ruhr-Kreis II,33.1,38.3,9.1,6.4,4.5,3.9,4.7
Bochum I,30.5,38.6,9.6,7.9,3.9,3.8,5.7
Herne – Bochum II,28.1,43.9,6.6,8.1,2.8,4.0,6.5
Dortmund I,29.0,38.1,10.7,7.9,4.1,4.1,6.1
Dortmund II,29.1,40.9,8.3,7.8,3.8,4.1,6.0
Unna I,31.9,40.9,7.9,6.2,4.0,3.8,5.3
Hamm – Unna II,36.9,38.5,6.0,6.3,3.7,3.3,5.3
Soest,44.8,30.4,7.0,5.2,4.9,3.4,4.3
Hochsauerlandkreis,49.7,28.0,4.8,4.7,5.1,3.4,4.3
Siegen-Wittgenstein,41.5,32.0,6.4,5.8,4.7,4.9,4.7
Olpe – Märkischer Kreis I,48.0,28.2,5.2,4.8,5.2,4.1,4.5
Märkischer Kreis II,41.5,32.3,5.6,5.9,4.5,5.0,5.2
Nordrhein-Westfalen,39.8,31.9,8.0,6.1,5.2,3.9,5.1
Nordsachsen,44.9,15.4,2.9,20.6,2.6,6.1,7.5
Leipzig I,36.9,18.5,6.9,21.3,2.9,6.1,7.4
Leipzig II,32.6,18.9,11.2,22.5,3.0,5.1,6.7
Leipzig-Land,45.8,15.2,3.3,19.9,2.9,6.4,6.5
Meißen,45.1,12.6,4.0,18.7,3.7,7.1,8.8
Bautzen I,45.6,12.2,2.8,19.9,3.1,7.1,9.3
Görlitz,44.1,12.6,3.4,19.6,2.8,8.2,9.3
Sächsische Schweiz-Osterzgebirge,46.0,10.9,3.6,17.1,3.2,7.9,11.3
Dresden I,39.8,15.4,7.9,19.0,3.1,6.9,7.9
Dresden II – Bautzen II,38.6,14.0,9.5,18.1,3.2,7.0,9.6
Mittelsachsen,45.3,13.3,3.3,20.6,3.4,6.3,7.8
Chemnitz,38.9,17.5,5.3,23.1,2.9,6.0,6.3
Chemnitzer Umland – Erzgebirgskreis II,45.3,14.5,3.2,20.0,2.7,7.3,7.0
Erzgebirgskreis I,46.0,12.7,2.5,19.4,3.7,7.6,8.1
Zwickau,44.4,14.8,3.2,21.3,2.7,6.1,7.5
Vogtlandkreis,44.2,16.0,3.3,20.2,2.8,6.7,6.8
Sachsen,42.6,14.6,4.9,20.0,3.1,6.8,8.0
Waldeck,36.5,36.0,8.1,5.5,4.8,5.0,4.1
Kassel,30.9,34.0,12.7,8.7,4.0,5.1,4.6
Werra-Meißner – Hersfeld-Rotenburg,36.0,36.9,7.0,6.0,3.9,5.6,4.6
Schwalm-Eder,35.6,36.5,7.7,5.4,4.6,5.4,4.8
Marburg,36.7,33.4,10.5,6.8,4.0,4.6,4.0
Lahn-Dill,41.8,30.3,7.4,5.2,4.4,5.8,5.1
Gießen,38.7,29.7,9.7,6.5,4.9,4.9,5.6
Fulda,51.1,22.1,6.7,4.6,4.9,5.8,4.8
Main-Kinzig – Wetterau II – Schotten,41.2,27.8,7.7,5.5,5.1,6.4,6.3
Hochtaunus,43.0,24.7,9.3,4.6,7.5,6.9,4.0
Wetterau I,40.9,27.3,9.4,5.2,5.9,5.9,5.4
Rheingau-Taunus – Limburg,45.5,25.1,8.6,4.5,6.3,5.8,4.2
Wiesbaden,38.7,27.8,11.7,5.9,6.8,5.1,4.0
Hanau,39.2,28.6,9.0,6.1,5.3,5.9,5.9
Main-Taunus,43.8,22.5,9.9,4.2,8.6,6.9,4.1
Frankfurt am Main I,33.5,26.8,13.3,8.9,7.0,5.3,5.2
Frankfurt am Main II,33.9,26.3,15.4,8.1,7.0,4.9,4.4
Groß-Gerau,36.7,30.5,10.6,6.2,4.7,5.6,5.7
Offenbach,38.8,26.1,10.7,6.6,6.4,5.8,5.6
Darmstadt,34.9,28.5,14.2,6.7,5.1,5.2,5.4
Odenwald,40.9,28.1,9.1,5.5,5.2,5.7,5.5
Bergstraße,42.4,27.6,8.7,4.9,5.5,5.6,5.3
Hessen,39.2,28.8,9.9,6.0,5.6,5.6,4.9
Eichsfeld – Nordhausen – Kyffhäuserkreis,43.5,15.3,3.7,21.7,2.7,5.0,8.1
Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis,40.1,17.1,4.1,22.5,2.5,5.1,8.6
Jena – Sömmerda – Weimarer Land I,36.0,16.4,7.3,23.1,3.2,5.8,8.2
Gotha – Ilm-Kreis,38.2,17.1,4.6,22.1,2.4,7.4,8.2
Erfurt – Weimar – Weimarer Land II,34.5,17.6,8.5,23.0,2.6,6.1,7.7
Gera – Greiz – Altenburger Land,39.9,14.2,3.5,25.1,2.6,7.6,7.1
Saalfeld-Rudolstadt – Saale-Holzland-Kreis – Saale-Orla-Kreis,38.2,15.2,4.1,24.3,2.6,7.2,8.4
Suhl – Schmalkalden-Meiningen – Hildburghausen – Sonneberg,39.4,16.4,3.8,25.2,2.4,5.1,7.7
Thüringen,38.8,16.1,4.9,23.4,2.6,6.2,8.0
Neuwied,45.6,28.6,6.2,5.2,4.7,5.1,4.6
Ahrweiler,48.8,24.6,6.6,4.7,5.6,5.2,4.5
Koblenz,45.0,27.1,7.7,5.2,5.4,4.7,4.9
Mosel/Rhein-Hunsrück,49.4,24.6,5.7,4.8,6.3,4.2,5.0
Kreuznach,41.1,31.4,6.3,5.8,5.6,4.8,5.0
Bitburg,52.2,22.3,6.1,4.4,6.1,3.6,5.3
Trier,44.0,26.3,9.5,6.3,4.9,4.1,4.9
Montabaur,45.2,27.8,6.3,5.1,5.2,5.1,5.3
Mainz,38.4,26.5,13.3,5.5,6.5,4.5,5.3
Worms,39.4,29.9,8.4,5.0,6.0,5.6,5.7
Ludwigshafen/Frankenthal,39.0,29.5,7.2,5.6,5.2,6.1,7.4
Neustadt – Speyer,43.7,25.8,8.5,4.8,5.7,4.9,6.6
Kaiserslautern,35.9,32.7,7.1,7.6,4.6,4.4,7.7
Pirmasens,43.7,28.0,4.7,6.5,5.1,4.3,7.7
Südpfalz,42.7,26.0,8.5,4.8,6.2,4.9,6.9
Rheinland-Pfalz,43.3,27.5,7.6,5.4,5.5,4.8,5.9
Altötting,58.6,15.2,5.8,2.9,3.9,4.1,9.5
Erding – Ebersberg,51.1,16.6,8.8,2.9,5.1,5.2,10.3
Freising,51.8,16.1,9.0,3.2,4.6,4.7,10.6
Fürstenfeldbruck,50.9,18.1,8.8,3.0,4.9,5.3,9.0
Ingolstadt,55.6,17.5,6.2,3.6,4.3,3.5,9.3
München-Nord,36.8,24.7,13.6,4.6,8.2,4.6,7.5
München-Ost,39.5,23.3,12.9,4.2,8.2,4.6,7.3
München-Süd,37.9,24.0,14.0,4.8,7.0,4.6,7.7
München-West/Mitte,37.0,23.7,15.6,4.8,7.4,4.2,7.3
München-Land,47.0,19.8,9.8,2.8,8.3,4.9,7.4
Rosenheim,54.1,14.8,8.4,2.9,5.0,4.8,10.0
Bad Tölz-Wolfratshausen – Miesbach,53.9,14.4,7.9,2.7,5.9,5.8,9.4
Starnberg – Landsberg am Lech,48.7,17.0,10.7,3.0,7.7,5.0,7.9
Traunstein,57.3,14.9,8.8,3.0,4.4,3.3,8.3
Weilheim,52.8,15.3,7.8,3.0,5.2,5.6,10.3
Deggendorf,56.1,16.8,4.4,3.4,3.8,4.0,11.5
Landshut,53.9,16.0,6.7,3.0,4.7,3.6,12.1
Passau,53.9,18.5,6.0,3.8,4.5,3.9,9.4
Rottal-Inn,58.8,15.1,4.9,2.7,4.1,3.6,10.8
Straubing,57.8,16.1,3.9,3.0,4.2,4.0,11.0
Amberg,53.5,19.4,6.0,3.4,3.8,3.5,10.4
Regensburg,48.4,19.3,9.2,3.9,4.6,4.1,10.5
Schwandorf,54.7,19.4,4.2,3.2,3.4,3.3,11.8
Weiden,52.8,22.5,4.3,3.4,3.4,3.6,10.0
Bamberg,48.9,19.8,8.9,4.1,4.8,4.1,9.4
Bayreuth,49.5,23.2,6.8,3.3,4.8,3.9,8.5
Coburg,46.8,27.9,5.7,4.0,4.0,4.3,7.3
Hof,46.9,26.6,5.4,4.8,3.8,4.4,8.1
